"[44, 19, -33]","[75, -69, 57]","[73, -9, 61]","[44, 19, -33]","[73, -9, 61]","[75, -69, 57]",0,purple,far
"[52, -1, -12]","[82, -58, 14]","[84, -63, 79]","[52, -1, -12]","[82, -58, 14]","[84, -63, 79]",0,gray,far
"[45, 13, -37]","[76, -45, -1]","[46, 55, 14]","[46, 55, 14]","[45, 13, -37]","[76, -45, -1]",1,purple,far
"[52, -2, -35]","[38, 58, -70]","[81, -50, 75]","[38, 58, -70]","[52, -2, -35]","[81, -50, 75]",1,blue,far
"[53, 1, -2]","[54, -5, -8]","[49, 5, -15]","[53, 1, -2]","[49, 5, -15]","[54, -5, -8]",0,brown,close
"[54, 7, 13]","[54, 0, 0]","[49, 60, -28]","[49, 60, -28]","[54, 7, 13]","[54, 0, 0]",1,brown,split
"[51, 76, 43]","[48, 25, 7]","[53, 20, 25]","[51, 76, 43]","[48, 25, 7]","[53, 20, 25]",0,red,close
"[53, 52, 51]","[53, 19, 26]","[51, 71, -43]","[53, 19, 26]","[53, 52, 51]","[51, 71, -43]",1,orange,split
"[52, 7, -1]","[73, -44, 60]","[77, -51, 8]","[73, -44, 60]","[77, -51, 8]","[52, 7, -1]",2,gray,far
"[52, 74, 63]","[47, 59, -46]","[61, -34, 25]","[52, 74, 63]","[47, 59, -46]","[61, -34, 25]",0,red,far
"[52, -2, -28]","[53, 1, -1]","[58, -23, 18]","[53, 1, -1]","[52, -2, -28]","[58, -23, 18]",1,blue,split
"[55, 11, 23]","[88, -66, 20]","[56, -16, 10]","[55, 11, 23]","[56, -16, 10]","[88, -66, 20]",0,brown,far
"[34, 47, -74]","[40, 52, -60]","[44, 76, -72]","[34, 47, -74]","[40, 52, -60]","[44, 76, -72]",0,blue,close
"[32, 70, -96]","[50, 5, -11]","[49, 69, -25]","[49, 69, -25]","[32, 70, -96]","[50, 5, -11]",1,blue,far
"[55, -6, -3]","[89, -55, 85]","[43, 73, -71]","[89, -55, 85]","[43, 73, -71]","[55, -6, -3]",2,gray,far
"[56, -10, 0]","[87, -84, 76]","[53, 81, 47]","[53, 81, 47]","[87, -84, 76]","[56, -10, 0]",2,gray,far
"[56, 56, 62]","[58, -13, -12]","[70, -54, 32]","[56, 56, 62]","[58, -13, -12]","[70, -54, 32]",0,red,far
"[80, -21, 72]","[58, 64, 68]","[54, -2, 0]","[80, -21, 72]","[54, -2, 0]","[58, 64, 68]",0,yellow,far
"[64, -43, 38]","[85, -26, 80]","[48, 38, -10]","[48, 38, -10]","[85, -26, 80]","[64, -43, 38]",2,green,far
"[49, 52, 41]","[46, 71, -60]","[75, -65, 65]","[49, 52, 41]","[46, 71, -60]","[75, -65, 65]",0,red,far
"[54, -1, 3]","[50, 75, -23]","[54, 5, -53]","[54, 5, -53]","[54, -1, 3]","[50, 75, -23]",1,gray,far
"[46, 11, -35]","[55, 86, -15]","[57, -11, -3]","[46, 11, -35]","[55, 86, -15]","[57, -11, -3]",0,blue,far
"[53, 4, -2]","[47, 13, -21]","[50, 1, -28]","[50, 1, -28]","[47, 13, -21]","[53, 4, -2]",2,gray,close
"[40, 35, -51]","[44, 21, -59]","[65, -46, 30]","[65, -46, 30]","[44, 21, -59]","[40, 35, -51]",2,purple,split
"[54, -4, -2]","[83, -48, 78]","[50, 17, 9]","[50, 17, 9]","[54, -4, -2]","[83, -48, 78]",1,gray,far
"[81, -59, 17]","[77, -58, 69]","[70, -6, 56]","[81, -59, 17]","[70, -6, 56]","[77, -58, 69]",0,teal,split
"[71, -39, 56]","[72, -60, 40]","[80, -67, 36]","[80, -67, 36]","[72, -60, 40]","[71, -39, 56]",2,olive,close
"[75, -13, 62]","[52, 6, 1]","[53, 2, -47]","[53, 2, -47]","[75, -13, 62]","[52, 6, 1]",1,orange,far
"[58, -21, 10]","[48, 36, 23]","[52, 81, -7]","[48, 36, 23]","[52, 81, -7]","[58, -21, 10]",2,gray,far
"[84, -73, 80]","[52, 9, 9]","[44, 82, -81]","[52, 9, 9]","[44, 82, -81]","[84, -73, 80]",2,green,far
"[48, 65, 9]","[51, 5, -9]","[61, -9, 23]","[61, -9, 23]","[51, 5, -9]","[48, 65, 9]",2,pink,far
"[79, -30, 71]","[75, -69, 56]","[62, -32, 31]","[62, -32, 31]","[75, -69, 56]","[79, -30, 71]",2,yellow,close
